Slope Type,Region,Percentage
green_percent,East Coast,26.076923076923077
blue_percent,East Coast,43.88461538461539
black_percent,East Coast,30.03846153846154
green_percent,West Coast,19.888888888888886
blue_percent,West Coast,40.3111111111111
black_percent,West Coast,39.800000000000004
